"Name","Team","Bye Week","Rank","$","Points","Risk","Tier","Outlook","Dynasty","Markers"
"James Cook","BUF","7","50","$1","99.4","5.0","9","Dalvin's little brother lands in a plush spot for fantasy points with Josh Allen in Buffalo. He profiles as an elite pass-catcher but never handled a full workload at Georgia as teammate Zamir White handled the carries between the tackles. Devin Singletary finished 2021 on a tear but it's clear the Bills don't think he's the long-term solution at RB. Look for Cook to handle 3rd down duties if his pass blocking shines through in training camp. To start the year, he's an RB depth piece with stand-alone value although you'll have to pull the trigger in the 9th-10th round.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kenyan Drake","LV","6","51","$1","93.3","6.3","10","After signing a two-year deal with the Raiders last off-season, Drake had an up-and-down first year in las Vegas. He went from irrelevant to three straight weeks as a top-15 back in the middle of the season before a fractured ankle ended it in Week 13. He's no longer a threat for those homerun 50+ yard TDs he had in his repertoire and with rookie Zamir White now in the mix, Drake is reduced to being an insurance back at best.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Alexander Mattison","MIN","7","52","$1","91.1","4.0","10","Man… if Alexander Mattison ever got the opportunity, he’d… Ok, we say this almost every year and when Dalvin Cook went out in 2021, he had two top-5 weeks. He’s a volume-based backup that can be 70 percent of Cook when given the chance. However, he’s lucky to see five or six touches when Cook is in.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"James Robinson","JAX","11","53","$1","90.3","8.0","10","Robinson went from UDFA darling to sitting in the backseat behind Travis Etienne to back in the driver's seat before an Achilles injury ruined his solid season. He was the RB15 through Week 11 the lone dependable part of the Jacksonville offense. With a new coaching staff in Jacksonville and a long road to recovery, there's no telling how much of Robinson we'll see this year behind Travis Etienne.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Ronald Jones","KC","8","54","$1","88.9","4.3","10","Rojo was a laughingstock his first couple of years in the league before turning into a valuable between-the-tackles runner. He was eventually overtaken by Leonard Fournette in Tampa Bay but now has a golden opportunity in Kansas City. He has 16 10-zone rushing TDs over the last three years, more than Nick Chubb and Joe Mixon. He's a 5+ yards per carry guy and if you aren't a believer in CEH, Rojo is worth a shot as an RB bench stash for your roster in a great offense.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Damien Williams","ATL","14","55","$1","88.0","5.3","10","Williams signed a one-year deal to backup Cordarrelle Patterson in Atlanta. He's 30 years old and the Falcons' offense projects as one of the worst in the NFL. That's not exactly the type of fantasy combo you're looking for in your RB.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Rex Burkhead","HOU","6","56","$1","87.3","5.3","10","Burkhead turns 32 which is basically assisted living for the RB position. The Texans re-signed him after a solid stretch towards the end of the season where he averaged 17.4 opportunities per game from Week 11 on. Never forget his Week 16 explosion against the Chargers where he ran for 149 yards and two scores in the Texans' shocking win. He's quickly going to be supplanted by other RBs on the roster (Marlon Mack & Dameon Pierce) but the story of this geriatric jitterbug on the football field is one we are still all about. Just don't draft him though. Smile and wave and remember to respect your elders.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Raheem Mostert","MIA","11","57","$1","86.6","6.7","11","Mostert was one of our favorite values in the draft last year before he sadly went down on his second carry of this season in Week 1. At age 30, he took his talents to Miami following coach Mike McDaniel. The reports this off-season are that he will be eased in and will not by any means carry a heavy workload. He's outside of our top-45 RBs with the Dolphins RB room being overcrowded with Chase Edmonds, Sony Michel, Myles Gaskin, and Mostert.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Brian Robinson","WAS","14","58","$1","81.6","3.5","11","Robinson was selected in the 3rd round after being at Alabama for a full five years. Normally we wouldn't like an aged RB but everything during training camp is pointing to him having a role and stealing some goal-line work from Antonio Gibson. Over the last decade, 3rd round rookie RBs have averaged 127 rushing attempts which is no small amount. He will likely be a thorn in the side of Gibson managers.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Hassan Haskins","TEN","6","59","$1","78.9","5.7","11","Haskins is a direct insurance backup to Derrick Henry. In other words, he's off the radar unless the Big Fella is injured again. The 4th-round pick from Michigan has the size (6'1"", 220) to make a difference at the goal line.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Khalil Herbert","CHI","14","60","$1","76.6","4.3","11","Taking a page out of Eminem's playbook, Herbert did not miss his chance and his once-in-a-lifetime opportunity came when David Montgomery went down and he averaged 22 touches per game over a month-long stretch. Two of those games were top-12 finishes against tough defenses (GB & @TB) before he was relegated to backup duties once again upon Montgomery's return. He's a fun insurance back to stash but apart from injury, he holds no value in redraft.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Matt Breida","NYG","9","61","$1","75.5","3.3","11","Breida is a skilled RB but he’s not sized to be a featured player. The Giants focused on improving their offensive line but it doesn’t seem to be a likely outcome for Breida to have a big enough role to really make an impact for fantasy behind Saquon Barkley.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyler Allgeier","ATL","14","62","$1","70.4","5.2","11","Allgeier was a productive back at BYU able to contribute in every phase of the game. He has better-than-you-think speed for someone with his size (220 lbs). Mike Davis was released and the only real competition in Atlanta is a couple of 30-year-olds (Cordarrelle Patterson and Damien Williams). While Allgeier is not guaranteed anything for 2022, he might stick around long enough to find himself a role on this team looking for any offensive spark.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Marlon Mack","HOU","6","63","$1","68.8","7.0","11","Mack wants to prove that he's back in the NFL limelight after struggling to recover from an Achilles injury that all but ruined his time in Indianapolis. The Texans are the perfect landing spot as the competition for touches is up for grabs with only Rex Burkhead and 4th-round rookie Dameon Pierce to worry about. You can presume Mack is the starter heading into training camp but this is a fluid situation on an extremely bad team. He's not a pass-catcher and this team dead last in total yards in 2022. Don't expect a ton of scoring opportunities but a starting RB is a starting RB on a fantasy roster.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Boston Scott","PHI","7","64","$1","67.3","4.3","11","Shockingly, Scott led this Philadelphia backfield with seven rushing TDs and rush attempts inside the 5-yard line. At 5'6"", he is someone you cheer for but not someone you can count on for fantasy apart from an injury to Miles Sanders.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jeff Wilson Jr.","SF","9","65","$1","63.5","8.0","11","Wilson missed the first half of the season recovering from injury and managers kept waiting for him to finally get a chance. He flopped in his first start in Week 11 against hapless Jacksvonulle before redeeming them in Week 15 finishing as the RB3 overall against Atlanta. He's stuck in a depth chart that is a deep, deep black hole. Apart from injuries ahead of him on the depth chart, My Name is Jeff is best left on the waiver wire.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Sony Michel","MIA","11","66","$1","56.8","4.3","11","The former 1st-round NFL draft pick has seen better fantasy days. When he was the lead back in Los Angeles, he came through for fantasy but was quickly replaced in the playoffs by an RB (Cam Akers) coming off an Achilles injury. He’s an early-down-only RB who found a contract late in the off-season. He will be backing up Chase Edmonds and is worth a flier at the end of drafts in case he has a larger role than expected.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyrion Davis-Price","SF","9","67","$1","56.7","8.0","11","TDP was a surprise selection in the 3rd round by the 49ers who have one very clear goal: to frustrate fantasy managers and make them question if starting an RB from San Francisco will lead to their psychological demise. He's a big back who hopefully can make more noise than last year's 3rd round pick Trey Sermon, who saw a total of 41 rush attempts. Nevertheless, Elijah Mitchell looks like the lead back but the situation is always fluid with Kyle Shanahan. He likely will be a priority waiver add at some point this year. Just don't ask us to predict when.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jerick McKinnon","KC","8","68","$1","55.9","4.3","11","Mckinnon was re-signed late in the off-season but his utilization in the playoffs was eye-popping. He averaged 16 touches per game in the most high-profile games of the year. It’s also worth noting that McKinnon ran four times as many 3rd down pass routes as Clyde Edwards-Helaire. In PPR leagues, he's worth taking a shot at the very end of your drafts or scoop off the waiver wire if he has a bigger role in Week 1.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Chris Evans","CIN","10","69","$1","53.7","3.5","11","Who was the third-down passing back for the Bengals last year? Was it the RB3 Joe Mixon? Nope. Samaje Perine? Zac Taylor dubiously showcased that in the Super Bowl. But who was the most effective third-down passing back on the team? It was Evans. The beat writers have consistently said this off-season that Evans could overtake Perine as the No. 2 back on the team as the younger, more electric player. He is an insurance back at best but he's shown flashes in the return game already as a playmaker for the Bengals.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mike Davis","BAL","10","70","$1","52.4","6.3","11","This guy just won't go away. He was in the right place at the right time in Carolina, Atlanta, and now Baltimore. J.K. Dobbins and Gus Edwards will eventually come back but Davis might have a few spot starts to begin the year. We're not excited about his fantasy prospects as Lamar Jackson is the clear RB1 on this team.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"D'Ernest Johnson","CLE","9","71","$1","47.6","5.0","11","Johnson had two top-10 fantasy performances when his number was called upon last year to start. The Browns thought enough of him to bring him back on a one-year deal as arguably the best third-string RB in the NFL. For fantasy purposes, he's off the redraft radar.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Eno Benjamin","ARI","13","72","$1","47.3","4.7","11","Benjamin was a 7th-round draft pick in 2020 and has barely graced the NFL field in two years. Nevertheless, he could win the No. 2 job behind James Conner this year in a battle with veteran Darrel Williams. He could be a priority waiver add at some point this year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Trey Sermon","SF","9","73","$1","43.3","8.7","11","Imagine the pain you could spare yourself by just removing Trey Sermon's existence from your fantasy football brain. He looked like a surefire up-and-coming fantasy star after the 49ers selected him in the 3rd round. Kyle Shanahan had other thoughts and Sermon ended up getting a healthy scratch in Week 1 and many weeks after. But here we are again after camp reports of him showing up looking good. Any RB on the 49ers is in play. He's still firmly behind Elijah Mitchell and rookie Tyrion Davis-Price in our minds but who knows? Maybe Sermon becomes a thing at some point in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Zamir White","LV","6","74","$1","36.7","4.0","11","White is built like a bulldozer using his physicality to win between the tackles. The draft capital (late 4th) isn't amazing but with the Raiders not picking up Josh Jacobs' 5th-year option and Kenyan Drake entering a contract year coming off a major ankle injury, White finds himself in a juicy situation after 2022. At 6'0"" 215 lbs., he has the NFL body to contribute right away as an early down runner.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Benny Snell Jr.","PIT","9","75","$1","30.8","3.5","11","With Najee Harris dominating most of the snaps, you might've gotten Snell suited up for the Steelers last year. Pittsburgh prefers the one-back system and Snell ain't it. He did trim down this off-season which is something we'd all love to say about our summers but let's be honest... pizza and hamburgers are good. Oh, don't draft Snell in redraft leagues.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyler Badie","BAL","10","76","$1","29.2","6.7","11","Badie was a production monster in his final year at Missouri with 1,600+ rushing yards and 18 total TDs. However, Baltimore selected him in the 6th round and his size (5'8"", 197) is not exactly prototypical. The Ravens RB injuries might thrust him into an early season role and the camp reports have dictated that he's been a playmaker with the ball in his hands. He's a wait-and-see but likely a longshot to have a significant rookie impact.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Isiah Pacheco","KC","8","77","$1","10.7","1.0","11","Pacheco was a surprising 7th-round draft pick who has made some waves during camp, especially as a return specialist. He ran a 4.37 40-time at the combine but his college was less than stellar at Rutgers. This KC backfield is an enigma as CEH, Rojo, and McKinnon all could have a major (or minor) role. Pacheco looks like a safe bet to make the 53-man roster but for fantasy, he's best left on the wire.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
