,name,team,rank,$,points,risk,tier,outlook,position,points_per_dollar,risk_adjusted_points_per_dollar
61,Elijah Mitchell,SF,28,22,174.0,0.41111111111111115,5,"Mitchell was one of our favorite dynasty sleepers last off-season but there was no way we'd imagine he would tie for the 2nd most 100-yard rushing games behind Jonathan Taylor. The Missle supplanted fellow rookie Trey Sermon very quickly seeing the most elite usage of any RB we've seen in the Kyle Shanahan system in San Francisco. From Week 10 through the NFL playoffs, he averaged 26 opportunities per game. However, there are some red flags as he missed three separate stints of the season due to injury woes. The 49ers also surprisingly selected RB Tyrion Davis-Price in the 3rd round to add to any already nauseous backfield rotation. He comes with a lot of risk but the lead dog in the 49ers backfield can be a valuable commodity. He's more of a low-end RB2 knowing Trey Lance brings the entire offense into question.",RB,7.909,3.251
62,Kareem Hunt,CLE,29,22,173.6,0.36666666666666664,5,"You might've forgotten but Hunt started out the year on fire scoring five TDs in his first five games. Before going down with an injury in Week 6, he averaged 87 total yards per game as the RB8 in fantasy. He tried to return from his ankle injury but it was a lost season for Hunt and the rest of the Browns. A lot has changed since with Deshaun Watson in town and now Hunt enters the final year of his contract. He'll always play second-fiddle to Nick Chubb in terms of usage. If there is another area of concern, it's the fact that during his last three full years as the Texans' starting QB, Watson targeted the RB position 14.7 percent of the time, dead last in the NFL. He'll need to overcome Chubb and Watson to truly be a fantasy force once again. He's a risk/reward RB in the 7th round.",RB,7.891,2.893
63,Miles Sanders,PHI,30,20,169.6,0.4222222222222222,6,"Sanders somehow failed to score one of the Eagles' league-leading 25 rushing TDs despite leading the team with 137 carries. For context, he's one of five different RBs with zero rushing TDs on that many attempts since 2010, the most recent Frank Gore. Not exactly great company. But we love this as a bounce-back spot on an offense that seems to be trending upwards. He ran for 5.5 yards per carry last season including two monster games (Week 13 & 15) where he simply didn't get in the end-zone. Fellow RB Boston Scott sees more goal-line work than you want and Kenneth Gainwell will mix in too. Still, Sanders can return RB2 value even with a league average TD amount (6+) based on his usage.",RB,8.48,3.58
64,J.K. Dobbins,BAL,31,18,165.4,0.6888888888888889,6,"Dobbins will be a full year removed from his ACL tear once the season starts. As a rookie, nine percent of Dobbins’ rush attempts were 15+ Yards, the highest in the NFL. His insane TD rate might come down but the explosive runs were always part of his profile coming into the league. This offense should revert to being top-5 in rush rate in 2022 making Dobbins's current 4th round ADP a relative steal. He can add 25-30 receptions giving him a higher floor than most other backs in that range. It shouldn't shock you if he ends up as an RB1 this year.",RB,9.189,6.33
65,Damien Harris,NE,32,19,164.3,0.47777777777777775,6,"Harris broke out in 2021 with 15 rushing TDs as one of the better fantasy steals finishing at RB13. That end-of-season finish might be a bit inflated knowing there were so many injuries to other high-end RBs. Nevertheless, he feasted against AFC East opponents averaging 87 rushing yards and scoring eight times on the ground. Expect the elite TD total to come down with Rhamondre Stevenson taking over more of the workload and James White back in the mix. He's a gamble this year as an RB2 and one we'd rather not take.",RB,8.647,4.131
66,Tony Pollard,DAL,33,16,154.6,0.36666666666666664,7,"Tony P gets no respect. Watch Cowboys games from last year and you'll see he was clearly the more electric player on the field compared to Ezekiel Elliott. He had over 1,000 total yards but still averaged just 35 percent of the snaps. Perhaps he will always be a fantasy tease, but it feels like we're ringing the same chorus we've sung the last two years: buy your lottery ticket but know you likely will be getting FLEX value at best as Zeke won't go away.",RB,9.662,3.543
67,Devin Singletary,BUF,34,15,153.5,0.5333333333333333,7,"It took three years but down the stretch last year, the Bills fully committed to Singletary after seeing with their eyeballs that Zack Moss is not good at this game called football. From Week 15 through the playoffs, Singletary averaged 20+ touches per game including four straight RB1 finishes to finish the year. We love the Buffalo offense and he should start the year as the team's lead back but there's a major risk that last year's end-of-season explosion is the best we'll ever see from him.",RB,10.233,5.458
68,Melvin Gordon III,DEN,35,14,148.7,0.3333333333333333,7,"He's back! The Broncos waited a while but eventually re-signed the veteran RB despite the groans of fantasy managers. Gordon surprisingly hung around all year as a capable RB2 on your roster finishing as the RB18, one spot behind backfield mate Javonte Williams. They had the same exact carries (203) and although things are trending for the talented Williams to take over, Gordon won't go away. He's a TD machine averaging double-digit TDs for the last six seasons and Russell Wilson should transform this offense to be even better in 2022. Don't forget about Gordon as a valuable depth RB for your roster in the later rounds.",RB,10.621,3.54
69,Rhamondre Stevenson,NE,36,11,139.4,0.47777777777777775,7,"Yes, he's a big boy but Stevenson impressed in his first year. He's one of six rookie RBs since 2013 with multiple games of 100+ rushing yards & two TDs. The upside was there and he looked much more fluid as a pass-catcher than most realize. Damien Harris will still be the lead back but if Stevenson supplants at some point, it shouldn't be surprising. In the double-digit rounds, he's a solid add for teams looking for upside at the RB position.",RB,12.673,6.055
70,Kenneth Walker III,SEA,37,8,128.5,0.47777777777777775,7,"Instant RB production in this year's rookie draft came down to Breece Hall and Walker. Luckily, the Michigan State RB landed with the perfect team and solid draft capital. He could be trapped as the compliment to Rashaad Penny this year, but Walker will own the Seattle backfield soon enough. His offense in college wasn't predicated on throwing to the RB but Walker is more than capable as a receiver.",RB,16.062,7.674
71,Darrell Henderson Jr.,LAR,38,6,122.5,0.41111111111111115,8,"For the first half of 2021, Henderson looked like one of the biggest steals in fantasy. After Cam Akers went down in training camp, Henderson was thrust into the lead role and responded as the RB11 through the first eight weeks of the season averaging a robust 19 opportunities per game. He was dependable... until the wheels fell off as the RB65 the rest of the way. He battled injuries and Sony Michel became the preferred back until Akers miraculously returned in the playoffs. He's now just an insurance back, albeit on a team we just saw win the Super Bowl.",RB,20.417,8.394
72,Jamaal Williams,DET,39,6,122.0,0.3333333333333333,8,He’s a depth piece behind D'Andre Swift who unfortunately former OC Anthony Lynn utilized way too much. JWilly saw 14 opportunities per game that translated to FLEX territory only four times on the year. He's an insurance back with only a window of hope if Swift were to go down.,RB,20.333,6.778
73,J.D. McKissic,WAS,40,4,115.5,0.30000000000000004,9,"Smooches was the thorn in the side of Antonio Gibson managers like a gnat never seeming to want to go away. Looking at his game logs is like a game of ""red-light/green-light"" as he displayed very little week-to-week consistency. Still, before missing the rest of the season due to a concussion, McKissic averaged 4.8 targets per game and was one pace for nearly 1,000 total yards. He was re-signed and will continue to siphon 3rd down duties from Gibson. He's a guy worth sticking on your bench in PPR leagues but know rookie Brian Robinson Jr. will have some say in the backfield rotation as well.",RB,28.875,8.663
74,Michael Carter,NYJ,41,3,113.3,0.41111111111111115,9,"Carter received some hype before the 2021 season with the Jets backfield looking like a complete fantasy quagmire. It took him a minute to get into gear but he had some great moments including a monster RB1 overall performance against the Bengals in Week 8 going for 172 total yards including 14 targets. Due to his diminutive frame, his body couldn't hold up missing three games down the stretch. With the drafting of Breece Hall in the early 2nd round, any notions of Carter being an elite fantasy option are out the window. Put him in the Nyheim Hines category of RBs for fantasy moving forward.",RB,37.767,15.526
75,Darrel Williams,ARI,42,3,112.1,0.36666666666666664,9,"Williams signed a one-year deal with the Cardinals to backup James Conner. He quietly finished as the RB22 last year filling in as a capable goal-line back in Kansas City along with adding 47 receptions. If Conner were to go down, Williams would be a hot commodity in the waiver wire streets. Consider him an insurance back not worth drafting but someone you will want to pounce on if the opportunity presents itself.",RB,37.367,13.701
76,Rachaad White,TB,43,3,111.9,0.5555555555555556,9,"White lands with the GOAT but we've also been down this road with the ghost of Ke'Shawn Vaughn. White was the best pass-catching RB in this class and should have a leg up on the aforementioned White and Gio Bernard for third-down duties behind Leonard Fournette. In redraft, he's worth a flier in the later rounds in hopes TB12 likes him. Maybe they grab a smoothie together and see where things go?",RB,37.3,20.722
77,Dameon Pierce,HOU,44,3,110.7,0.47777777777777775,9,"Pierce is getting a lot of steam this off-season as a potential rookie sleeper based on one thing: the landing spot. His 4th-round draft capital is nothing to write home about but the competition in Houston is a hodgepodge of has-beens named Marlon Mack, Rex Burkhead, and Dare Ogunbowale. Not exactly Murderer's Row, Pierce is far from a guaranteed fantasy producer on arguably the worst team in the NFL. He's worth a look in redraft at the end of your bench but the Texans could win 3 games this year... How many TDs are up for grabs?",RB,36.9,17.63
78,Mark Ingram II,NO,45,2,109.0,0.30000000000000004,9,"If your league gives you points for hype man, Ingram is the 1.01. Gone are the days you could count on Ingram for double-digit TDs but after being traded (rescued) from Houston, he revived his fantasy pulse back in New Orleans. In two games replacing an injured Alvin Kamara, the Saints treated him as a workhorse with 21 & 24 opportunities. If Kamara misses games due to suspension, Ingram looks like the next man up on the depth chart.",RB,54.5,16.35
79,Kenneth Gainwell,PHI,46,1,105.7,0.5555555555555556,9,"Gainwell was among the weirdest players to project week-to-week in the NFL. His game logs might state that he had three separate weeks as an RB1, as many as Damien Harris or Javonte Williams. But the lulls in-between them made him unbearable to even roster. He's a fun gadget player that has a wide range of outcomes in 2021. He could compete with Miles Sanders for touches or continue as the RB3 on the depth chart. He should start out the year on the waiver wire but could make some noise. Perhaps it is time for Gainwell to take up the Kenny G moniker.",RB,105.7,58.722
80,Nyheim Hines,IND,47,1,103.6,0.30000000000000004,9,"Hines had the exact opposite season as teammate Jonathan Taylor. He started hot and then vanished into oblivion. After Week 3, he averaged less than five touches per game and had only two games of more than 35 total yards. But the Frank Reich puff pieces this off-season have highlighted Hines as a more integral part of the offense with Matt Ryan under center as opposed to the one-year failed experiment known as Carson Wentz. Hines is still only a real option in PPR leagues out the gate as a late -round flier hoping he catches lightning in a bottle again.",RB,103.6,31.08
81,Gus Edwards,BAL,48,1,102.0,0.7,9,"Sadly the Gus Bus broke down before the beginning of the season as the Ravens experienced one of the worst injury-plagued seasons we've seen. Edwards tag-teamed with JK Dobbins in 2020 to the tune of averaging 5.3 yards per carry in the second half and finishing as an RB2 in half his games played. At this point of his career, we can't really count on him to be much more than an insurance back. 30 percent of the backfield work is likely the most you'll see returning from injury. He's not on the redraft radar to start the year.",RB,102.0,71.4
82,Isaiah Spiller,LAC,49,1,101.0,0.4444444444444444,9,"Spiller tumbled from a 1st round rookie in early rookie mock drafts to an afterthought in the NFL Draft.  Yes, he's firmly behind Austin Ekeler but he should be able to beat out the dubious duo of Joshua Kelley & Larry Rountree III.",RB,101.0,44.889
83,James Cook,BUF,50,1,99.4,0.4444444444444444,9,"Dalvin's little brother lands in a plush spot for fantasy points with Josh Allen in Buffalo. He profiles as an elite pass-catcher but never handled a full workload at Georgia as teammate Zamir White handled the carries between the tackles. Devin Singletary finished 2021 on a tear but it's clear the Bills don't think he's the long-term solution at RB. Look for Cook to handle 3rd down duties if his pass blocking shines through in training camp. To start the year, he's an RB depth piece with stand-alone value although you'll have to pull the trigger in the 9th-10th round.",RB,99.4,44.178
84,Kenyan Drake,LV,51,1,93.3,0.5888888888888889,10,"After signing a two-year deal with the Raiders last off-season, Drake had an up-and-down first year in las Vegas. He went from irrelevant to three straight weeks as a top-15 back in the middle of the season before a fractured ankle ended it in Week 13. He's no longer a threat for those homerun 50+ yard TDs he had in his repertoire and with rookie Zamir White now in the mix, Drake is reduced to being an insurance back at best.",RB,93.3,54.943
85,Alexander Mattison,MIN,52,1,91.1,0.3333333333333333,10,"Man… if Alexander Mattison ever got the opportunity, he’d… Ok, we say this almost every year and when Dalvin Cook went out in 2021, he had two top-5 weeks. He’s a volume-based backup that can be 70 percent of Cook when given the chance. However, he’s lucky to see five or six touches when Cook is in.",RB,91.1,30.367
86,James Robinson,JAX,53,1,90.3,0.7777777777777778,10,"Robinson went from UDFA darling to sitting in the backseat behind Travis Etienne to back in the driver's seat before an Achilles injury ruined his solid season. He was the RB15 through Week 11 the lone dependable part of the Jacksonville offense. With a new coaching staff in Jacksonville and a long road to recovery, there's no telling how much of Robinson we'll see this year behind Travis Etienne.",RB,90.3,70.233
87,Ronald Jones,KC,54,1,88.9,0.36666666666666664,10,"Rojo was a laughingstock his first couple of years in the league before turning into a valuable between-the-tackles runner. He was eventually overtaken by Leonard Fournette in Tampa Bay but now has a golden opportunity in Kansas City. He has 16 10-zone rushing TDs over the last three years, more than Nick Chubb and Joe Mixon. He's a 5+ yards per carry guy and if you aren't a believer in CEH, Rojo is worth a shot as an RB bench stash for your roster in a great offense.",RB,88.9,32.597
88,Damien Williams,ATL,55,1,88.0,0.47777777777777775,10,Williams signed a one-year deal to backup Cordarrelle Patterson in Atlanta. He's 30 years old and the Falcons' offense projects as one of the worst in the NFL. That's not exactly the type of fantasy combo you're looking for in your RB.,RB,88.0,42.044
89,Rex Burkhead,HOU,56,1,87.3,0.47777777777777775,10,Burkhead turns 32 which is basically assisted living for the RB position. The Texans re-signed him after a solid stretch towards the end of the season where he averaged 17.4 opportunities per game from Week 11 on. Never forget his Week 16 explosion against the Chargers where he ran for 149 yards and two scores in the Texans' shocking win. He's quickly going to be supplanted by other RBs on the roster (Marlon Mack & Dameon Pierce) but the story of this geriatric jitterbug on the football field is one we are still all about. Just don't draft him though. Smile and wave and remember to respect your elders.,RB,87.3,41.71
90,Raheem Mostert,MIA,57,1,86.6,0.6333333333333333,11,"Mostert was one of our favorite values in the draft last year before he sadly went down on his second carry of this season in Week 1. At age 30, he took his talents to Miami following coach Mike McDaniel. The reports this off-season are that he will be eased in and will not by any means carry a heavy workload. He's outside of our top-45 RBs with the Dolphins RB room being overcrowded with Chase Edmonds, Sony Michel, Myles Gaskin, and Mostert.",RB,86.6,54.847
91,Brian Robinson,WAS,58,1,81.6,0.2777777777777778,11,"Robinson was selected in the 3rd round after being at Alabama for a full five years. Normally we wouldn't like an aged RB but everything during training camp is pointing to him having a role and stealing some goal-line work from Antonio Gibson. Over the last decade, 3rd round rookie RBs have averaged 127 rushing attempts which is no small amount. He will likely be a thorn in the side of Gibson managers.",RB,81.6,22.667
92,Hassan Haskins,TEN,59,1,78.9,0.5222222222222223,11,"Haskins is a direct insurance backup to Derrick Henry. In other words, he's off the radar unless the Big Fella is injured again. The 4th-round pick from Michigan has the size (6'1"", 220) to make a difference at the goal line.",RB,78.9,41.203
93,Khalil Herbert,CHI,60,1,76.6,0.36666666666666664,11,"Taking a page out of Eminem's playbook, Herbert did not miss his chance and his once-in-a-lifetime opportunity came when David Montgomery went down and he averaged 22 touches per game over a month-long stretch. Two of those games were top-12 finishes against tough defenses (GB & @TB) before he was relegated to backup duties once again upon Montgomery's return. He's a fun insurance back to stash but apart from injury, he holds no value in redraft.",RB,76.6,28.087
94,Matt Breida,NYG,61,1,75.5,0.25555555555555554,11,Breida is a skilled RB but he’s not sized to be a featured player. The Giants focused on improving their offensive line but it doesn’t seem to be a likely outcome for Breida to have a big enough role to really make an impact for fantasy behind Saquon Barkley.,RB,75.5,19.294
95,Tyler Allgeier,ATL,62,1,70.4,0.4666666666666667,11,"Allgeier was a productive back at BYU able to contribute in every phase of the game. He has better-than-you-think speed for someone with his size (220 lbs). Mike Davis was released and the only real competition in Atlanta is a couple of 30-year-olds (Cordarrelle Patterson and Damien Williams). While Allgeier is not guaranteed anything for 2022, he might stick around long enough to find himself a role on this team looking for any offensive spark.",RB,70.4,32.853
96,Marlon Mack,HOU,63,1,68.8,0.6666666666666666,11,Mack wants to prove that he's back in the NFL limelight after struggling to recover from an Achilles injury that all but ruined his time in Indianapolis. The Texans are the perfect landing spot as the competition for touches is up for grabs with only Rex Burkhead and 4th-round rookie Dameon Pierce to worry about. You can presume Mack is the starter heading into training camp but this is a fluid situation on an extremely bad team. He's not a pass-catcher and this team dead last in total yards in 2022. Don't expect a ton of scoring opportunities but a starting RB is a starting RB on a fantasy roster.,RB,68.8,45.867
97,Boston Scott,PHI,64,1,67.3,0.36666666666666664,11,"Shockingly, Scott led this Philadelphia backfield with seven rushing TDs and rush attempts inside the 5-yard line. At 5'6"", he is someone you cheer for but not someone you can count on for fantasy apart from an injury to Miles Sanders.",RB,67.3,24.677
98,Jeff Wilson Jr.,SF,65,1,63.5,0.7777777777777778,11,"Wilson missed the first half of the season recovering from injury and managers kept waiting for him to finally get a chance. He flopped in his first start in Week 11 against hapless Jacksvonulle before redeeming them in Week 15 finishing as the RB3 overall against Atlanta. He's stuck in a depth chart that is a deep, deep black hole. Apart from injuries ahead of him on the depth chart, My Name is Jeff is best left on the waiver wire.",RB,63.5,49.389
99,Sony Michel,MIA,66,1,56.8,0.36666666666666664,11,"The former 1st-round NFL draft pick has seen better fantasy days. When he was the lead back in Los Angeles, he came through for fantasy but was quickly replaced in the playoffs by an RB (Cam Akers) coming off an Achilles injury. He’s an early-down-only RB who found a contract late in the off-season. He will be backing up Chase Edmonds and is worth a flier at the end of drafts in case he has a larger role than expected.",RB,56.8,20.827
100,Tyrion Davis-Price,SF,67,1,56.7,0.7777777777777778,11,"TDP was a surprise selection in the 3rd round by the 49ers who have one very clear goal: to frustrate fantasy managers and make them question if starting an RB from San Francisco will lead to their psychological demise. He's a big back who hopefully can make more noise than last year's 3rd round pick Trey Sermon, who saw a total of 41 rush attempts. Nevertheless, Elijah Mitchell looks like the lead back but the situation is always fluid with Kyle Shanahan. He likely will be a priority waiver add at some point this year. Just don't ask us to predict when.",RB,56.7,44.1
101,Jerick McKinnon,KC,68,1,55.9,0.36666666666666664,11,"Mckinnon was re-signed late in the off-season but his utilization in the playoffs was eye-popping. He averaged 16 touches per game in the most high-profile games of the year. It’s also worth noting that McKinnon ran four times as many 3rd down pass routes as Clyde Edwards-Helaire. In PPR leagues, he's worth taking a shot at the very end of your drafts or scoop off the waiver wire if he has a bigger role in Week 1.",RB,55.9,20.497
102,Chris Evans,CIN,69,1,53.7,0.2777777777777778,11,"Who was the third-down passing back for the Bengals last year? Was it the RB3 Joe Mixon? Nope. Samaje Perine? Zac Taylor dubiously showcased that in the Super Bowl. But who was the most effective third-down passing back on the team? It was Evans. The beat writers have consistently said this off-season that Evans could overtake Perine as the No. 2 back on the team as the younger, more electric player. He is an insurance back at best but he's shown flashes in the return game already as a playmaker for the Bengals.",RB,53.7,14.917
103,Mike Davis,BAL,70,1,52.4,0.5888888888888889,11,"This guy just won't go away. He was in the right place at the right time in Carolina, Atlanta, and now Baltimore. J.K. Dobbins and Gus Edwards will eventually come back but Davis might have a few spot starts to begin the year. We're not excited about his fantasy prospects as Lamar Jackson is the clear RB1 on this team.",RB,52.4,30.858
104,D'Ernest Johnson,CLE,71,1,47.6,0.4444444444444444,11,"Johnson had two top-10 fantasy performances when his number was called upon last year to start. The Browns thought enough of him to bring him back on a one-year deal as arguably the best third-string RB in the NFL. For fantasy purposes, he's off the redraft radar.",RB,47.6,21.156
105,Eno Benjamin,ARI,72,1,47.3,0.41111111111111115,11,"Benjamin was a 7th-round draft pick in 2020 and has barely graced the NFL field in two years. Nevertheless, he could win the No. 2 job behind James Conner this year in a battle with veteran Darrel Williams. He could be a priority waiver add at some point this year.",RB,47.3,19.446
106,Trey Sermon,SF,73,1,43.3,0.8555555555555555,11,Imagine the pain you could spare yourself by just removing Trey Sermon's existence from your fantasy football brain. He looked like a surefire up-and-coming fantasy star after the 49ers selected him in the 3rd round. Kyle Shanahan had other thoughts and Sermon ended up getting a healthy scratch in Week 1 and many weeks after. But here we are again after camp reports of him showing up looking good. Any RB on the 49ers is in play. He's still firmly behind Elijah Mitchell and rookie Tyrion Davis-Price in our minds but who knows? Maybe Sermon becomes a thing at some point in 2022.,RB,43.3,37.046
107,Zamir White,LV,74,1,36.7,0.3333333333333333,11,"White is built like a bulldozer using his physicality to win between the tackles. The draft capital (late 4th) isn't amazing but with the Raiders not picking up Josh Jacobs' 5th-year option and Kenyan Drake entering a contract year coming off a major ankle injury, White finds himself in a juicy situation after 2022. At 6'0"" 215 lbs., he has the NFL body to contribute right away as an early down runner.",RB,36.7,12.233
108,Benny Snell Jr.,PIT,75,1,30.8,0.2777777777777778,11,"With Najee Harris dominating most of the snaps, you might've gotten Snell suited up for the Steelers last year. Pittsburgh prefers the one-back system and Snell ain't it. He did trim down this off-season which is something we'd all love to say about our summers but let's be honest... pizza and hamburgers are good. Oh, don't draft Snell in redraft leagues.",RB,30.8,8.556
109,Tyler Badie,BAL,76,1,29.2,0.6333333333333333,11,"Badie was a production monster in his final year at Missouri with 1,600+ rushing yards and 18 total TDs. However, Baltimore selected him in the 6th round and his size (5'8"", 197) is not exactly prototypical. The Ravens RB injuries might thrust him into an early season role and the camp reports have dictated that he's been a playmaker with the ball in his hands. He's a wait-and-see but likely a longshot to have a significant rookie impact.",RB,29.2,18.493
110,Isiah Pacheco,KC,77,1,10.7,0.0,11,"Pacheco was a surprising 7th-round draft pick who has made some waves during camp, especially as a return specialist. He ran a 4.37 40-time at the combine but his college was less than stellar at Rutgers. This KC backfield is an enigma as CEH, Rojo, and McKinnon all could have a major (or minor) role. Pacheco looks like a safe bet to make the 53-man roster but for fantasy, he's best left on the wire.",RB,10.7,0.0
114,Davante Adams,LV,4,34,251.9,0.16666666666666666,2,"For the first time in his career, Davante Adams won’t be catching passes from Aaron Rodgers. Adams joins a Raiders depth chart that includes Darren Waller and Hunter Renfrow, so the projectable 30+% target share may not be as secure as it was in years past, but Adams is still one of the NFL’s premier red zone targets, giving up double-digit TD upside every season. He’s logged 10+ TD in four of the last five years. The only time he didn’t? 2019 when he played just 12 games.",WR,7.409,1.235
117,Mike Evans,TB,7,26,225.0,0.13333333333333336,2,"Doesn’t it just feel automatic at this point? Mike Evans has been the staple of consistency throughout his career, and with Tom Brady back under center for one final ride (we think), Evans should continue to be a top 12 fantasy WR with plenty of top-5 weeks thanks to his TD upside. The Bucs were extremely pass-heavy in the red zone in each of the last two years with TB12, giving Evans as good a shot as any WR to finish with 10+ TD yet again this season.",WR,8.654,1.154
119,Mike Williams,LAC,9,22,215.8,0.35555555555555557,2,"For the first time in his career, Williams was no longer used only as a deep threat. Prior to 2021, his career aDOT was 15.4, but in this new look Chargers offense, his aDOT dropped to 12.0, which helped Williams set a career high in target share at 21%. Any WR that’s attached to one of the NFL’s best passers and offenses who has a chance to see 20+% of the targets and post double-digit TDs is certainly in play to finish as a top-12 fantasy WR as Williams did a season ago.",WR,9.809,3.488
120,Tyreek Hill,MIA,10,20,209.0,0.25555555555555554,3,"Like some other superstar WRs, there is uncertainty surrounding Hill as he’ll be playing in his first season without Patrick Mahomes in 2022. Hill took on a new role in 2021 as a low aDOT type of guy, and it’s possible former 49ers OC and current Dolphins HC Mike McDaniel plans to utilize Hill in the same way as the team used Deebo Samuel a year ago. Look for Hill to get manufactured touches in this Dolphins offense, but unless Tua takes a step forward, it’s fair to question his upside compared to what we’ve seen in KC.",WR,10.45,2.671
122,DJ Moore,CAR,12,18,205.9,0.4444444444444444,3,"Moore’s talent is obvious on the field but the lack of TDs is frustrating. After all, you’re not going to be a top fantasy option if you only score 4 TDs, which is exactly what Moore has done each of the last three seasons. He has the 5th most targets & receiving yards for a WR before turning 25 in NFL history. With Baker Mayfield now as QB1, he could approach top-12 status if things break right in the TD category. He's more of a volatile WR2 for fantasy in our projections.",WR,11.439,5.084
124,Courtland Sutton,DEN,14,18,205.0,0.3333333333333333,3,"Sutton predictably struggled last season, especially coming off his torn ACL from the year prior. Now two years out from surgery and with Russell Wilson in town, there’s plenty of reason to get excited about the TD upside for Sutton, who flashed big play ability early in his career. Sutton was targeted 20+ yards downfield 29 times last season, 7th most in football. He caught just 9 of those passes, which helps illustrate some of the QB concerns from a year ago. Wilson has been one of football’s best deep passers over the last five years, and if Sutton is used similarly this year, we can certainly expect that catch rate to improve, giving Sutton a boost in efficiency and upside in 2022.",WR,11.389,3.796
125,Keenan Allen,LAC,15,17,199.1,0.19999999999999998,3,"One word to describe Keenan Allen in fantasy over the last 5 seasons? Reliable. The Chargers' slot WR has finished as the WR14 or better in every season going back to 2017 and should have a similar role that he had last season when he saw a 25% target share. While a top 5 fantasy ceiling probably isn’t in his range of outcomes, Allen projects as a rock solid WR2 yet again for fantasy.",WR,11.712,2.342
126,A.J. Brown,PHI,16,17,199.1,0.3111111111111111,3,"Fly Eagles, Fly! AJ Brown teams up with his buddy, Jalen Hurts, in Philly after signing a $100 million contract this off-season. Brown has always been a player who’s thrived on efficiency as we’ve seen him have success in Tennessee’s low-volume passing offense. He’s ranked top-8 in yards per route run each of his three professional seasons. The primary question marks here are if Jalen Hurts can take a step forward as a passer and Philadelphia’s offensive game plan. From Weeks 1-7 last year, they ranked 5th in neutral situation pass rate; from Week 8 on, they completely flipped the script from Week 8 on ranking 2nd in neutral situation rush rate. If we see the pass attempts go up from Hurts, it would certainly elevate Brown’s fantasy ceiling in 2022.",WR,11.712,3.644
127,Brandin Cooks,HOU,17,17,198.3,0.16666666666666666,3,"Will Brandin Cooks ever be properly valued in fantasy? The dude just keeps beating his ADP year after year. With Davis “General” Mills hopefully taking a step forward in year two, Cooks should continue to be the focal point for an offense void of playmakers that projects to play from behind quite often. If you’re looking for a rock solid WR2, look no further than Cooks, who’s finished as a top-20 fantasy WR in back-to-back seasons in Houston and top-20 WR in six of the last seven years.",WR,11.665,1.944
129,Allen Robinson II,LAR,19,14,190.5,0.5333333333333333,3,"Cooper Kupp should yet again dominate targets in LA, but we know Allen Robinson is a talented WR and now he gets to play on the best offense of his career with the best QB of his career. As long as Kupp is healthy, A-Rob’s fantasy ceiling is capped, but as we saw with Odell Beckham Jr. down the stretch last season, multiple WRs can get there in this loaded Rams offense.",WR,13.607,7.257
130,Jaylen Waddle,MIA,20,14,190.0,0.25555555555555554,3,"Can Tua Tagovailoa support multiple elite fantasy WRs? With Tyreek Hill now in Miami and a new coaching staff aboard, there are obvious question marks about what the target share might look like for the Dolphins' pass catchers. Waddle’s range of outcomes is wider with Hill on the roster, but if Tua can take a step forward in 2022, it’s possible both guys are being undervalued in fantasy drafts.",WR,13.571,3.468
131,Diontae Johnson,PIT,21,13,187.0,0.36666666666666664,4,"Johnson has been the apple of Ben Roethlisberger’s eye over the last two seasons as an absolute target hog. Will that change with either Kenny Pickett or Mitch Trubisky under center? That remains to be seen but it’s possible even if the same target share isn’t available, that all WRs in Pittsburgh benefit from more downfield passing attempts, which in theory, could improve Johnson’s efficiency and upside in fantasy. Last year, just 14% of Johnson’s targets came 20+ yards down the field, one of the lowest marks in all of football.",WR,14.385,5.274
132,Darnell Mooney,CHI,22,13,186.0,0.3333333333333333,4,"It’s nearly impossible not to project Darnell Mooney for a 25+% target share when you look at the Bears' depth chart (try not to laugh!), so he should produce for fantasy on volume alone. He’s just 24 years old and is coming off the WR24 fantasy finish a year ago. If Justin Fields can take a step forward this season, Mooney’s ceiling is…the moon? Dad jokes for the win!",WR,14.308,4.769
133,Amon-Ra St. Brown,DET,23,12,183.6,0.30000000000000004,4,"St. Brown was a league winner down the stretch last season when he averaged over 20 fantasy points per game from Weeks 13-18. In that span, he saw double-digit targets in every game, but that production came with D’Andre Swift and T.J. Hockenson injured. While Brown is still likely to contribute for the Lions this season, his volume isn’t so safe. Not only are Swift and Hock back, but the team traded up to take Jameson Williams with the 12th overall pick and they signed D.J. Chark to a one-year deal.",WR,15.3,4.59
134,Jerry Jeudy,DEN,24,12,183.3,0.4444444444444444,4,"Goodbye Drew Lock and Teddy B, Hello Mr. Unliiiimmiiiitttteddd. The hype will continue to build this summer for Jerry Jeudy with Russell Wilson now under center, and based on what we’ve seen with Russ in Seattle, he can absolutely support two top-24 fantasy WRs.  The presence of Courtland Sutton could cap his ceiling as Jeudy has only two top-20 fantasy weeks in his entire career. Nevertheless, we expect Jeudy’s route running and Wilson’s arm talent to make sweet, sweet music in Denver.",WR,15.275,6.789
135,Adam Thielen,MIN,25,11,181.9,0.4444444444444444,4,"Last season, Thielen injured his ankle in Week 13 but from Weeks 1-12, he was still producing elite numbers for fantasy as he was the WR7 in that time frame. The cliff is probably coming sooner than later for Thielen as he enters the latter stages of his career, but there’s a good chance he returns value even if the ceiling isn’t what it once was. Aside from Justin Jefferson, the target competition on this WR depth chart is minimal, and Thielen and Kirk Cousins have undeniable chemistry in the red zone.",WR,16.536,7.349
